username;transaction_date;transaction_value;transaction_description,transaction_type,local_type
SALES-NAME:SAL3NE9BG;2022-12-20T23:36:36;26.92;NEW SALE;C;1
SALES-NAME:SALEB37Q3;2022-12-20T23:36:36;45.41;NEW SALE;C;1
SALES-NAME:SALC8T7BP;2022-12-20T23:36:36;24.55;NEW SALE;C;1
SALES-NAME:SALDTDANN;2022-12-20T23:36:36;52.34;NEW SALE;C;1
SALES-NAME:SAL3T0TQH;2022-12-20T23:36:36;18.32;NEW SALE;C;1
SALES-NAME:SALAI09N5;2022-12-20T23:36:36;80.63;NEW SALE;C;1
SALES-NAME:SALXQSH3S;2022-12-20T23:36:36;25.97;NEW SALE;C;1
SALES-NAME:SALA2K33A;2022-12-20T23:36:36;19.76;NEW SALE;C;1
SALES-NAME:SALDIF8OD;2022-12-20T23:36:36;12.71;NEW SALE;C;1
SALES-NAME:SALFELY0Y;2022-12-20T23:36:36;93.52;NEW SALE;C;1
SALES-NAME:SALN0SMX6;2022-12-20T23:36:36;11.58;NEW SALE;C;1
SALES-NAME:SALAW20NS;2022-12-20T23:36:36;72.39;NEW SALE;C;1
SALES-NAME:SALKFL2WF;2022-12-20T23:36:36;62.10;NEW SALE;C;1
SALES-NAME:SAL1XCA3N;2022-12-20T23:36:36;75.83;NEW SALE;C;1
SALES-NAME:SAL1SNL1Z;2022-12-20T23:36:36;84.86;NEW SALE;C;1
SALES-NAME:SALZKSFDN;2022-12-20T23:36:36;81.28;NEW SALE;C;1
SALES-NAME:SAL2WPE6G;2022-12-20T23:36:36;9.38;NEW SALE;C;1
SALES-NAME:SALQ6QG9Y;2022-12-20T23:36:36;48.00;NEW SALE;C;1
SALES-NAME:SAL2YL0U5;2022-12-20T23:36:36;42.51;NEW SALE;C;1
SALES-NAME:SALBC9G0E;2022-12-20T23:36:36;5.52;NEW SALE;C;1
SALES-NAME:SALBM1LRD;2022-12-20T23:36:36;86.37;NEW SALE;C;1
SALES-NAME:SALV96C7L;2022-12-20T23:36:36;60.62;NEW SALE;C;1
SALES-NAME:SALWOX7EU;2022-12-20T23:36:36;92.26;NEW SALE;C;1
SALES-NAME:SALLJLECD;2022-12-20T23:36:36;56.37;NEW SALE;C;1
SALES-NAME:SAL1ULHIB;2022-12-20T23:36:36;19.30;NEW SALE;C;1
